log,Backbone_pretty,Mode,NA Acc.,RT MSE,NT MSE,Runtime (h),backbone,Setting,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,runtime_h_mean,runtime_h_std
BPI12,Llama3.2-1B,LoRA,0.4797 ± 0.1052,2.6798 ± 0.1251,1.6597 ± 0.0391,0.48493 ± 0.00813,llama32-1b,LoRA,0.4796575636259651,0.10517842324933087,2.679773913465801,0.1250912648654038,1.6597404769583703,0.03911699634303686,0.4849272949869722,0.00812934135455364
BPI12,Llama3.2-1B,ZS,0.0375 ± 0.0381,2.8389 ± 0.7812,2.9487 ± 1.1199,0.00559 ± 0.00124,llama32-1b,ZeroShot,0.03751429796968831,0.03807943954730075,2.8388536178894404,0.781220276031962,2.948662874853403,1.1199101591451974,0.005587572589555555,0.0012415074173401136
BPI12,Qwen2.5-0.5B,FS,0.0465 ± 0.0313,2.7602 ± 1.2001,1.6372 ± 0.0951,0.04645 ± 0.00014,qwen25-05b,FewShot-LoRA,0.04650772090363168,0.031290121865303236,2.7601760558943536,1.2001362958339112,1.6371977197907088,0.0951255227897531,0.046452420079055555,0.0001394825754128207
BPI12,Qwen2.5-0.5B,LoRA,0.6374 ± 0.0723,2.5660 ± 0.0727,1.4364 ± 0.0496,0.35070 ± 0.00335,qwen25-05b,LoRA,0.6373784672576495,0.07227236774142017,2.565950127216859,0.0727407560459787,1.4363885196999968,0.04961103462136715,0.3507012100488611,0.003346709586058203
BPI12,Qwen2.5-0.5B,ZS,0.0454 ± 0.0434,2.8299 ± 0.9953,2.9607 ± 0.8500,0.00255 ± 0.00003,qwen25-05b,ZeroShot,0.04537460680583357,0.0434090306112848,2.8299368465333656,0.9953010294352113,2.9607304610233154,0.8500359004342594,0.0025503757484444446,2.7334512597457773e-05
BPI17,GPT-Neo-1.3B,FS,0.0716 ± 0.0466,0.9869 ± 0.2532,1.6236 ± 0.5637,0.28745 ± 0.00086,gptneo-1b3,FewShot-LoRA,0.07157235775666199,0.04660720333293546,0.9869037142258584,0.2532183351860402,1.6236436212202954,0.5636916233086497,0.28744818069466666,0.0008573875428387254
BPI17,GPT-Neo-1.3B,LoRA,0.7321 ± 0.0783,0.6359 ± 0.0151,0.9041 ± 0.1196,1.82132 ± 0.00492,gptneo-1b3,LoRA,0.7321342096160498,0.07831946896324987,0.6359407673498756,0.015064043710596773,0.9040581140073114,0.119623380875701,1.8213211186162501,0.0049232874830335595
BPI17,GPT-Neo-1.3B,ZS,0.0445 ± 0.0415,1.8491 ± 0.5564,1.9535 ± 0.4025,0.02564 ± 0.00075,gptneo-1b3,ZeroShot,0.04447066962378172,0.04151223873440737,1.8491094025894093,0.5564086996013423,1.9535075073254606,0.40252211653342695,0.025636813238666668,0.000747481216869126
BPI17,GPT2,FS,0.0869 ± 0.0448,0.8607 ± 0.1112,1.3901 ± 0.1911,0.07305 ± 0.00334,gpt2,FewShot-LoRA,0.08690934000718933,0.04481548866249715,0.8607027900633655,0.11121650563873027,1.3901373242954491,0.19109909959270505,0.07305031330488888,0.003344145738918264
BPI17,GPT2,LoRA,0.8031 ± 0.0556,1.2875 ± 0.0479,0.9875 ± 0.0217,0.49782 ± 0.15005,gpt2,LoRA,0.8030900495791536,0.0555817995122094,1.2874553872240146,0.047907069677341,0.9875403022309459,0.02169050177030153,0.4978240220862778,0.15004705882205113
