dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI12,NT,activity_current,20,0.1333244305708979,0.1364151910902598,0.1826276027350726,0.0734864850329537,0.0679837417048521,0.0811495957020511,0.1318885992185618,0.0707351133689029,0.1348698108305788,-0.0611534858496589,0.0029812116120169,0.5363246996935862,1.022604013005526,W_Afhandelen leads
BPI12,NT,activity_current,22,0.7314261137669199,0.6775238654052,0.7384373097206904,0.6917881545861925,0.6555995091310403,0.6460633666243658,0.6922503381725281,0.6736938318586163,0.70447498958606,-0.0185565063139118,0.0122246514135319,0.973193936801968,1.0176592928012196,W_Completeren aanvraag
BPI12,NT,activity_current,23,0.2728721695825641,0.2139597949974331,0.2383703581649626,0.2390986580263685,0.2088993801562874,0.2361823463421545,0.2372763522535585,0.223999019091328,0.2434159822899986,-0.0132773331622305,0.00613963003644,0.9440427457851251,1.025875440085488,W_Nabellen incomplete dossiers
BPI12,NT,activity_current,24,0.8739963602088694,0.8383644785320797,0.7883376024627163,0.8585273883559487,0.8757888894624911,0.7579480249337949,0.7731428136982557,0.8671581389092199,0.8561804193704745,0.0940153252109642,0.0830376056722188,1.1216014991606154,1.107402674125646,W_Nabellen offertes
BPI12,NT,activity_current,25,0.174386803011753,0.1361213451066212,0.1409785757385935,0.0588423730859979,0.0484122055315831,0.1883623370824501,0.1646704564105218,0.0536272893087905,0.1552540740591871,-0.1110431671017312,-0.0094163823513346,0.325664302375517,0.9428168078440268,W_Valideren aanvraag
BPI12,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",0.1317547420043706,0.1134684548486728,0.1461709598889511,0.0051152639946824,0.002664205429421,0.0850069630966597,0.1155889614928054,0.0038897347120517,0.1226115984265217,-0.1116992267807536,0.0070226369337163,0.0336514374886384,1.0607552558913975,
BPI12,NT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",0.2222986029651206,0.1739886991075567,0.1883583617838541,0.1465346198137458,0.1264870472408987,0.2116261253709549,0.1999922435774045,0.1365108335273223,0.1981436510363386,-0.0634814100500822,-0.0018485925410658,0.6825806395560908,0.9907566788191444,
BPI12,NT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",0.5487004457502221,0.5105969708892044,0.5544512686255536,0.48312005851573,0.4574965704890454,0.4640206525841241,0.5092359606048389,0.4703083145023877,0.5296487083197132,-0.0389276461024512,0.0204127477148743,0.923556761277787,1.0400850475889984,
BPI12,NT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",0.8739963602088694,0.8383644785320797,0.7883376024627163,0.8585273883559487,0.8757888894624911,0.7579480249337949,0.7731428136982557,0.8671581389092199,0.8561804193704745,0.0940153252109642,0.0830376056722188,1.1216014991606154,1.107402674125646,
BPI12,NT,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",0.1722161045781114,0.1466300957478009,0.183410529922659,0.0759680206148306,0.0648166318939506,0.1258308285005097,0.1546206792115843,0.0703923262543906,0.1594231001629562,-0.0842283529571937,0.0048024209513718,0.4552581621897102,1.03105937042742,
BPI12,NT,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",0.6684594550412166,0.6195425046812245,0.6735944701843,0.6194246430887542,0.5869579075792101,0.5899102165810728,0.6317523433826864,0.6031912753339821,0.6440009798612205,-0.0285610680487042,0.0122486364785341,0.9547907208451726,1.0193883514748032,
BPI12,NT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",0.7419990917155865,0.6997873178938296,0.6703194770497327,0.7026218470114811,0.7162942712703392,0.6314598399702848,0.6508896585100088,0.7094580591409101,0.7208932048047081,0.0585684006309012,0.0700035462946992,1.0899820727909149,1.107550558500113,
BPI12,NT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",0.1601072837336194,0.143643762726905,0.1459663273565376,0.0417495586167452,0.0361460641665794,0.1253845171166299,0.1356754222365838,0.0389478113916623,0.1518755232302622,-0.0967276108449214,0.0162001009936784,0.2870660783627206,1.1194033578567348,
BPI12,NT,case_length_bucket,1-3,0.1131844359389956,0.071403015104513,0.1048551516066635,0.0034537233652607,0.0021991631196391,0.0447456067608248,0.0748003791837442,0.0028264432424499,0.0922937255217543,-0.0719739359412943,0.0174933463380101,0.0377864828132336,1.233867081008218,
BPI12,NT,case_length_bucket,11-20,0.3947154293035916,0.3591645850744833,0.3734620647676485,0.316158330913535,0.3154882360065944,0.2911390262092219,0.3323005454884352,0.3158232834600647,0.3769400071890375,-0.0164772620283705,0.0446394617006022,0.9504145802585088,1.1343346025357512,
BPI12,NT,case_length_bucket,21-50,0.4952372347186421,0.468225584934842,0.4832238968540748,0.4273478552695687,0.4184109237966923,0.4271653242544921,0.4551946105542834,0.4228793895331305,0.4817314098267421,-0.0323152210211529,0.0265367992724586,0.9290079006387988,1.0582977009331134,
BPI12,NT,case_length_bucket,51-100,0.3925166207978347,0.3364099756984066,0.359451458366665,0.301338639419337,0.2838161967733386,0.3410550533978414,0.3502532558822532,0.2925774180963378,0.3644632982481206,-0.0576758377859153,0.0142100423658674,0.83533104455907,1.0405707645174451,
BPI12,NT,case_length_bucket,6-10,0.1160370870728319,0.1198516173583002,0.1378150737434283,0.0378922699788294,0.0404525296848028,0.0487307347015503,0.0932729042224893,0.0391723998318161,0.1179443522155661,-0.0541005043906732,0.0246714479930767,0.4199761995013675,1.2645081998757803,
BPI12,NT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",1.1829206381934017,1.2337937737886937,1.0980339329181736,1.14600541119516,1.141634780766614,1.1631083111656657,1.1305711220419197,1.143820095980887,1.2083572059910477,0.0132489739389676,0.0777860839491282,1.0117188327922606,1.0688024684450097,
BPI12,NT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",0.2016538859867197,0.1163706121520869,0.2037638592981434,0.1557448471111875,0.1370406164778048,0.0892646290609203,0.1465142441795319,0.1463927317944962,0.1590122490694033,-0.0001215123850357,0.0124980048898714,0.9991706445628123,1.0853023196472074,
BPI12,NT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",0.2104543296149748,0.1200836029957995,0.2181171761920555,0.1262781505091522,0.1119167868516518,0.1324376278400049,0.1752774020160302,0.119097468680402,0.1652689663053871,-0.0561799333356282,-0.010008435710643,0.6794798833765793,0.9428994519799664,
