dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI17,activity_current,9,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.0142857142857143,0.0142857142857143,0.0285714285714285,0.0,A_Incomplete
BPI17,activity_current,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,A_Submitted
BPI17,activity_current,12,0.9523809523809524,0.9523809523809524,0.9682539682539684,0.6031746031746031,0.6031746031746031,0.9047619047619048,0.9365079365079364,0.6031746031746031,0.9523809523809524,0.3333333333333333,-0.0158730158730158,-0.0476190476190475,0.0158730158730159,A_Validating
BPI17,activity_current,14,0.6216216216216216,0.5135135135135135,0.6756756756756757,0.2432432432432432,0.5675675675675675,0.945945945945946,0.8108108108108107,0.4054054054054054,0.5675675675675675,0.4054054054054054,0.2432432432432432,0.3783783783783784,0.1081081081081081,O_Cancelled
BPI17,activity_current,15,1.0,0.8833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9416666666666668,0.0,0.0583333333333333,0.0583333333333333,0.0583333333333333,O_Create Offer
BPI17,activity_current,16,0.8472222222222222,0.7777777777777778,0.8333333333333334,0.5416666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6875,0.8125,0.1458333333333333,0.0208333333333333,0.0208333333333333,0.0208333333333333,O_Created
BPI17,activity_current,18,1.0,0.9714285714285714,0.9142857142857144,0.7142857142857143,0.8571428571428571,0.9714285714285714,0.9428571428571428,0.7857142857142857,0.9857142857142858,0.1571428571428571,-0.0428571428571429,-0.0142857142857143,-0.0714285714285715,O_Returned
BPI17,activity_current,19,0.9508196721311476,0.8688524590163934,0.918032786885246,0.7540983606557377,0.7377049180327869,0.9672131147540984,0.9426229508196722,0.7459016393442623,0.9098360655737704,0.1967213114754098,0.0327868852459016,0.0573770491803278,0.0081967213114754,O_Sent (mail and online)
BPI17,activity_current,22,0.8480243161094225,0.8358662613981763,0.8753799392097265,0.6413373860182371,0.6565349544072948,0.8723404255319149,0.8738601823708207,0.648936170212766,0.8419452887537995,0.2249240121580548,0.0319148936170212,0.0303951367781154,0.0334346504559269,W_Call after offers
BPI17,activity_current,23,0.7484662576687117,0.7423312883435583,0.8343558282208589,0.6411042944785276,0.647239263803681,0.7914110429447853,0.8128834355828221,0.6441717791411044,0.745398773006135,0.1687116564417177,0.067484662576687,0.0460122699386502,0.0889570552147238,W_Call incomplete files
