dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI12,y_true_na,6,0.2580645161290322,0.0,0.1935483870967742,0.0,0.3225806451612903,0.5806451612903226,0.3870967741935484,0.1612903225806451,0.1290322580645161,0.2258064516129032,0.2580645161290322,0.4516129032258065,0.064516129032258,A_CANCELLED
BPI12,y_true_na,8,0.054054054054054,0.2702702702702703,0.3783783783783784,0.054054054054054,0.1891891891891892,0.4594594594594595,0.4189189189189189,0.1216216216216216,0.1621621621621621,0.2972972972972973,0.2567567567567568,0.2972972972972973,0.2162162162162162,A_FINALIZED
BPI20PrepaidTravelCosts,branching_entropy_bucket,"branch_ent_(0.128, 0.674]",0.5656565656565656,0.6801346801346801,0.877104377104377,0.6565656565656566,0.5572390572390572,0.8720538720538721,0.8745791245791246,0.6069023569023568,0.6228956228956228,0.2676767676767677,0.2516835016835017,0.2491582491582492,0.2542087542087542,
BPI17,activity_current,14,0.6216216216216216,0.5135135135135135,0.6756756756756757,0.2432432432432432,0.5675675675675675,0.945945945945946,0.8108108108108107,0.4054054054054054,0.5675675675675675,0.4054054054054054,0.2432432432432432,0.3783783783783784,0.1081081081081081,O_Cancelled
BPI12,relative_prefix_bucket,60-80%,0.5200945626477541,0.5130023640661938,0.8156028368794326,0.6903073286052009,0.706855791962175,0.6879432624113475,0.75177304964539,0.698581560283688,0.5165484633569739,0.053191489361702,0.2352245862884161,0.1713947990543736,0.2990543735224586,
BPI12,branching_entropy_bucket,"branch_ent_(-0.001, 1.29]",0.6303939962476548,0.6060037523452158,0.8123827392120075,0.8292682926829268,0.8386491557223265,0.8799249530956847,0.8461538461538461,0.8339587242026266,0.6181988742964353,0.0121951219512195,0.2279549718574108,0.2617260787992495,0.1941838649155722,
BPI12,relative_prefix_bucket,40-60%,0.5454545454545454,0.6181818181818182,0.8441558441558441,0.6805194805194805,0.6571428571428571,0.7714285714285715,0.8077922077922077,0.6688311688311688,0.5818181818181818,0.1389610389610389,0.2259740259740259,0.1896103896103896,0.2623376623376623,
BPI20PrepaidTravelCosts,branching_entropy_bucket,"branch_ent_(0.674, 1.285]",0.7515337423312883,0.4785276073619632,0.843558282208589,0.803680981595092,0.803680981595092,0.8190184049079755,0.8312883435582823,0.803680981595092,0.6150306748466258,0.0276073619631902,0.2162576687116565,0.2039877300613497,0.2285276073619632,
BPI12,relative_prefix_bucket,80-100%,0.5273522975929978,0.3938730853391685,0.649890590809628,0.4113785557986871,0.4595185995623632,0.700218818380744,0.675054704595186,0.4354485776805251,0.4606126914660832,0.2396061269146608,0.2144420131291028,0.2396061269146607,0.1892778993435447,
BPI20PrepaidTravelCosts,prefix_length_bucket,3,0.7931034482758621,0.4876847290640394,0.8817733990147784,0.8866995073891626,0.8177339901477833,0.8275862068965517,0.854679802955665,0.8522167487684729,0.6403940886699507,0.0024630541871921,0.2142857142857143,0.1871921182266009,0.2413793103448276,
BPI20PrepaidTravelCosts,case_length_bucket,4-5,0.5111111111111111,0.2222222222222222,0.6,0.7111111111111111,0.6444444444444445,0.5555555555555556,0.5777777777777777,0.6777777777777778,0.3666666666666666,-0.1,0.211111111111111,0.1888888888888889,0.2333333333333333,
BPI12,y_true_na,19,0.032258064516129,0.0,0.1290322580645161,0.0,0.032258064516129,0.3225806451612903,0.2258064516129032,0.0161290322580645,0.0161290322580645,0.2096774193548387,0.2096774193548387,0.3064516129032258,0.1129032258064516,O_SENT_BACK
BPI20TravelPermitData,activity_frequency_bucket,"act_freq_(1799.0, 2539.0]",0.5246636771300448,0.6838565022421524,0.8004484304932735,0.6143497757847534,0.3856502242152466,0.8116591928251121,0.8060538116591929,0.5,0.6042600896860986,0.3060538116591929,0.2017937219730943,0.2073991031390135,0.1961883408071749,
BPI20PrepaidTravelCosts,case_length_bucket,11-20,0.527336860670194,0.4656084656084656,0.7001763668430335,0.6754850088183422,0.5890652557319224,0.6878306878306878,0.6940035273368607,0.6322751322751323,0.4964726631393298,0.0617283950617283,0.1975308641975308,0.191358024691358,0.2037037037037037,
BPI20PrepaidTravelCosts,activity_frequency_bucket,"act_freq_(5.999, 430.0]",0.8027888446215139,0.5258964143426295,0.8745019920318725,0.8466135458167331,0.8446215139442231,0.8406374501992032,0.8575697211155379,0.8456175298804781,0.6643426294820717,0.0119521912350597,0.1932270916334661,0.1762948207171315,0.2101593625498008,
BPI17,y_true_na,14,0.4705882352941176,0.5,0.5294117647058824,0.7058823529411765,0.4705882352941176,0.8235294117647058,0.6764705882352942,0.5882352941176471,0.4852941176470588,0.088235294117647,0.1911764705882353,0.338235294117647,0.0441176470588235,O_Cancelled
BPI12,activity_frequency_bucket,"act_freq_(1.999, 1611.0]",0.5895953757225434,0.5973025048169557,0.7283236994219653,0.630057803468208,0.6570327552986512,0.8342967244701349,0.7813102119460501,0.6435452793834296,0.5934489402697496,0.1377649325626204,0.1878612716763005,0.2408477842003853,0.1348747591522157,
BPI20TravelPermitData,true_next_activity_frequency_bucket,"next_freq_(0.999, 1185.0]",0.3394308943089431,0.274390243902439,0.4817073170731707,0.3658536585365853,0.3008130081300813,0.5,0.4908536585365853,0.3333333333333333,0.306910569105691,0.157520325203252,0.1839430894308943,0.1930894308943089,0.1747967479674796,
BPI20PrepaidTravelCosts,branching_entropy_bucket,"branch_ent_(1.285, 1.937]",0.4703196347031963,0.3447488584474886,0.6118721461187214,0.4589041095890411,0.4657534246575342,0.5707762557077626,0.591324200913242,0.4623287671232876,0.4075342465753424,0.1289954337899543,0.1837899543378995,0.1632420091324201,0.204337899543379,
BPI20PrepaidTravelCosts,activity_frequency_bucket,"act_freq_(519.0, 529.0]",0.4703196347031963,0.3447488584474886,0.6118721461187214,0.4589041095890411,0.4657534246575342,0.5707762557077626,0.591324200913242,0.4623287671232876,0.4075342465753424,0.1289954337899543,0.1837899543378995,0.1632420091324201,0.204337899543379,
BPI12,y_true_na,20,0.7676767676767676,0.3838383838383838,0.5959595959595959,0.4444444444444444,0.5959595959595959,0.9191919191919192,0.7575757575757576,0.5202020202020201,0.5757575757575757,0.2373737373737374,0.1818181818181818,0.3434343434343435,0.0202020202020202,W_Afhandelen leads
