dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI17,transformer,sequence,NT,activity_current,18,35,0.0630100680249077,0.0188005275789389,0.0389879643917083,0.0770850151777267,-0.0460455260106495,35,O_Returned
BPI17,transformer,sequence,NT,activity_current,19,61,0.4314046116148839,2.650532932608612,0.0791812092065811,0.3867954611778259,-0.3612233546913647,61,O_Sent (mail and online)
BPI17,transformer,sequence,NT,activity_current,22,329,0.7923619601094252,5.049948868524118,0.0884079933166503,1.2103402495384217,-0.5800266587670814,324,W_Call after offers
BPI17,transformer,sequence,NT,activity_current,23,326,0.1865284601890659,0.2496990872516247,0.0638146176934242,0.2903768271207809,-0.0832645015332539,313,W_Call incomplete files
BPI17,transformer,sequence,NT,activity_current,24,247,0.1342242775779021,0.1298519557109285,0.0732592195272445,0.1791145540773868,-0.0704736285484754,244,W_Complete application
BPI17,transformer,sequence,NT,activity_current,25,76,0.0744024599951348,0.0072853588921312,0.07401854544878,0.1231390610337257,-0.0644067900843526,75,W_Handle leads
BPI17,transformer,sequence,NT,activity_current,27,318,0.1483230463773855,0.0682817543577791,0.0725662037730217,0.4022300571203231,0.0546678280364136,311,W_Validate application
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,3,199,0.1291465051659387,0.026480445560834,0.1112295091152191,0.2718463197350502,0.0705834129198112,199,Payment Handled
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,4,215,0.2493414288240506,0.1226043400190646,0.1809233501553535,0.4636646017432212,0.0012213356311021,212,Permit APPROVED by ADMINISTRATION
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,5,78,0.2552062618122316,0.0879889169944565,0.274895928800106,0.4554832801222801,0.0260015696687146,78,Permit APPROVED by BUDGET OWNER
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,7,32,0.331977766691125,0.2440524159800866,0.3005195967853069,0.5442360967397691,0.1722684411652153,32,Permit APPROVED by SUPERVISOR
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,8,37,1.5464078195997186,5.263960722563846,1.1980618834495544,1.9903338670730584,-0.4401311608585151,37,Permit FINAL_APPROVED by DIRECTOR
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,9,160,1.8416508754784444,6.65911571950654,1.2692446261644363,4.203883087635039,-0.6397016854887625,160,Permit FINAL_APPROVED by SUPERVISOR
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,16,201,0.2086438932525577,0.1552914733231229,0.1512548327445984,0.3382473066449165,0.0823191144128343,198,Permit SUBMITTED by EMPLOYEE
BPI20PrepaidTravelCosts,gemma-2-2b,llm,NT,activity_current,17,223,0.2542475772621694,0.1249003389262857,0.1851961016654968,0.4761559657752514,-0.0392214427018254,223,Request For Payment APPROVED by ADMINISTRATION
