dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI12,activity_current,17,0.2083333333333333,0.4375,0.75,0.3541666666666667,0.3125,0.75,0.75,0.3333333333333333,0.3229166666666667,0.4166666666666666,0.4270833333333333,0.4270833333333333,0.4270833333333333,O_SELECTED
BPI12,activity_current,8,0.15,0.525,0.775,0.5,0.45,1.0,0.8875,0.475,0.3375,0.4125,0.5499999999999999,0.6625,0.4375,A_FINALIZED
BPI12,y_true_na,25,0.6583850931677019,0.4472049689440994,0.8571428571428571,0.4409937888198758,0.4347826086956521,0.8385093167701864,0.8478260869565217,0.4378881987577639,0.5527950310559007,0.4099378881987577,0.295031055900621,0.2857142857142857,0.3043478260869564,W_Valideren aanvraag
BPI17,activity_current,14,0.6216216216216216,0.5135135135135135,0.6756756756756757,0.2432432432432432,0.5675675675675675,0.945945945945946,0.8108108108108107,0.4054054054054054,0.5675675675675675,0.4054054054054054,0.2432432432432432,0.3783783783783784,0.1081081081081081,O_Cancelled
BPI12,activity_current,25,0.3216374269005848,0.3040935672514619,0.6666666666666666,0.2748538011695906,0.3099415204678362,0.7251461988304093,0.695906432748538,0.2923976608187134,0.3128654970760234,0.4035087719298246,0.3830409356725146,0.4122807017543859,0.3538011695906432,W_Valideren aanvraag
BPI17,activity_current,25,0.8421052631578947,0.8289473684210527,0.8947368421052632,0.4868421052631579,0.5263157894736842,0.8947368421052632,0.8947368421052632,0.506578947368421,0.8355263157894737,0.3881578947368421,0.0592105263157894,0.0592105263157894,0.0592105263157894,W_Handle leads
BPI17,prefix_length_bucket,4-5,0.8761904761904762,0.8285714285714286,0.8476190476190476,0.6095238095238096,0.3619047619047619,0.8761904761904762,0.861904761904762,0.4857142857142857,0.8523809523809525,0.3761904761904762,0.0095238095238094,0.0238095238095237,-0.0047619047619048,
BPI20TravelPermitData,activity_current,36,0.375,0.375,0.675,0.3,0.35,0.725,0.7,0.3249999999999999,0.375,0.375,0.3249999999999999,0.35,0.3,Request For Payment APPROVED by ADMINISTRATION
BPI17,activity_current,24,0.8016194331983806,0.708502024291498,0.7732793522267206,0.4412955465587044,0.4210526315789473,0.8299595141700404,0.8016194331983806,0.4311740890688259,0.7550607287449393,0.3704453441295546,0.0465587044534412,0.074898785425101,0.0182186234817812,W_Complete application
BPI12,case_length_bucket,6-10,0.6972477064220184,0.7247706422018348,0.6972477064220184,0.4220183486238532,0.4587155963302752,0.908256880733945,0.8027522935779816,0.4403669724770642,0.7110091743119267,0.3623853211009173,0.0917431192660549,0.1972477064220182,-0.0137614678899082,
BPI12,activity_current,20,0.6495726495726496,0.6068376068376068,0.6923076923076923,0.4102564102564102,0.3675213675213675,0.7692307692307693,0.7307692307692308,0.3888888888888889,0.6282051282051282,0.3418803418803419,0.1025641025641026,0.141025641025641,0.0641025641025641,W_Afhandelen leads
BPI20TravelPermitData,y_true_na,36,0.28,0.88,0.86,0.82,0.26,0.9,0.88,0.54,0.5800000000000001,0.3399999999999999,0.2999999999999999,0.3199999999999999,0.2799999999999999,Request For Payment APPROVED by ADMINISTRATION
BPI12,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",0.4576271186440678,0.4194915254237288,0.6652542372881356,0.3495762711864407,0.3771186440677966,0.7351694915254238,0.7002118644067796,0.3633474576271186,0.4385593220338983,0.336864406779661,0.2616525423728813,0.2966101694915254,0.2266949152542373,
BPI17,activity_current,12,0.9523809523809524,0.9523809523809524,0.9682539682539684,0.6031746031746031,0.6031746031746031,0.9047619047619048,0.9365079365079364,0.6031746031746031,0.9523809523809524,0.3333333333333333,-0.0158730158730158,-0.0476190476190475,0.0158730158730159,A_Validating
BPI12,activity_current,7,0.9069767441860463,0.8837209302325582,0.9069767441860463,0.5348837209302325,0.7441860465116279,1.0,0.9534883720930232,0.6395348837209303,0.8953488372093024,0.3139534883720929,0.0581395348837208,0.1046511627906976,0.011627906976744,A_DECLINED
BPI20PrepaidTravelCosts,branching_degree_bucket,"branch_deg_(4.0, 5.0]",0.5241779497098646,0.6982591876208898,0.874274661508704,0.6247582205029013,0.5125725338491296,0.8820116054158608,0.8781431334622825,0.5686653771760155,0.6112185686653773,0.3094777562862669,0.2669245647969052,0.2707930367504835,0.2630560928433267,
BPI20TravelPermitData,activity_current,49,0.2545454545454545,0.8,0.7818181818181819,0.7454545454545455,0.2363636363636363,0.8181818181818182,0.8,0.4909090909090909,0.5272727272727273,0.3090909090909091,0.2727272727272727,0.2909090909090909,0.2545454545454545,Request For Payment SUBMITTED by EMPLOYEE
