dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases
BPI12,transformer,sequence,NT,prefix_length_bucket,11-20,536,0.5054845030040744,1.7738881567365634,0.11752383410930634,1.057531138882041,-0.41557178559275204,461
BPI12,transformer,sequence,NT,prefix_length_bucket,2,86,0.0652045933313148,0.004881567995757524,0.05750457942485809,0.09873326122760773,-0.0652045933313148,86
BPI12,transformer,sequence,NT,prefix_length_bucket,21-50,672,0.5875295448557674,3.133271384379363,0.13776708394289017,1.3043114632368087,-0.5438135814273708,498
BPI12,transformer,sequence,NT,prefix_length_bucket,3,89,0.07317823263701428,0.02838444140984161,0.033093199133872986,0.10787845253944398,-0.06467565450440632,89
BPI12,transformer,sequence,NT,prefix_length_bucket,4-5,118,0.0614341718413062,0.007798663432977126,0.038952723145484924,0.13590408712625504,-0.03882577049277597,116
BPI12,transformer,sequence,NT,prefix_length_bucket,6-10,293,0.08428813283388907,0.016953142526140635,0.05145243555307388,0.1861621975898743,-0.060681661167388636,269
BPI12,transformer,sequence,NT,prefix_length_bucket,>50,115,0.16142788412778275,0.1875308514309042,0.11460088193416595,0.19314668774604798,-0.16142788412778275,72
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,1,43,0.1922376259814861,0.040758960928256344,0.17967826128005981,0.2907001972198487,-0.1922376259814861,43
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,11-20,545,0.47214514873494656,2.467593021030789,0.14487269148230553,0.5368165850639344,-0.34062851546503126,525
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,2,49,0.23859012491849005,0.06358573328171498,0.24222175776958466,0.34380926191806793,-0.23859012491849005,49
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,21-50,836,0.2937802538731354,0.7188640645252067,0.14478421956300735,0.4506864696741104,-0.19214051938894244,769
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,3,44,0.22277863433753903,0.05813775498743656,0.23058953136205673,0.32091396003961564,-0.22139628409323367,44
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,4-5,105,0.1726908530507769,0.03845717917894345,0.16186761856079102,0.2672822654247285,-0.16925777324608393,104
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,6-10,248,0.2203714478753447,0.11756227293450704,0.16294240951538086,0.39408461749553686,-0.2020894704544316,245
BPI17,gemma-2-2b,llm,NT,prefix_length_bucket,>50,130,0.2696598482174942,0.3727829054375001,0.14364895224571228,0.3382119581103326,-0.2361888964373905,122
BPI17,llama32-1b,llm,NT,prefix_length_bucket,1,43,0.09944338594065157,0.009951591636392103,0.10372612625360489,0.10718083381652832,0.09944338594065157,43
BPI17,llama32-1b,llm,NT,prefix_length_bucket,11-20,545,0.49548332597932204,1.9677084166138479,0.14789558947086334,0.8526521742343905,0.0365599118929288,525
BPI17,llama32-1b,llm,NT,prefix_length_bucket,2,49,0.1391636481394573,0.01960764045921719,0.14353127777576447,0.1558797650039196,0.1391636481394573,49
BPI17,llama32-1b,llm,NT,prefix_length_bucket,21-50,836,0.30487436024526704,0.5581361701903487,0.16171761974692345,0.40669311583042145,0.039530466890806984,769
BPI17,llama32-1b,llm,NT,prefix_length_bucket,3,44,0.08403414547104728,0.010254420441787385,0.10464874655008316,0.14963110722601414,0.07358571455221284,44
BPI17,llama32-1b,llm,NT,prefix_length_bucket,4-5,105,0.11444684361063298,0.01631210666465499,0.11766523867845535,0.19990051593631508,0.10313282855121153,104
BPI17,llama32-1b,llm,NT,prefix_length_bucket,6-10,248,0.19604233927055892,0.07777729325919729,0.18377166613936424,0.2626454368233681,0.10182535548078557,245
BPI17,llama32-1b,llm,NT,prefix_length_bucket,>50,130,0.26988689461185666,0.3193593100222503,0.14058858901262283,0.3856093525886536,-0.04547232723114296,122
BPI17,rnn,sequence,NT,prefix_length_bucket,1,43,0.0707996917325397,0.006456340519490865,0.07294325530529022,0.12100912034511571,-0.06406656808631364,43
BPI17,rnn,sequence,NT,prefix_length_bucket,11-20,545,0.43597268165354064,2.0071778515287395,0.12933793663978577,0.5363322734832764,-0.2848364092426699,525
BPI17,rnn,sequence,NT,prefix_length_bucket,2,49,0.09316671654886129,0.011142795421132876,0.08651649951934814,0.16350782811641698,-0.08304071821728531,49
BPI17,rnn,sequence,NT,prefix_length_bucket,21-50,836,0.26078108529341365,0.6285623948106029,0.10418415069580078,0.44605449587106705,-0.02047428809110249,769
BPI17,rnn,sequence,NT,prefix_length_bucket,3,44,0.08266832484779033,0.009728326408562648,0.07957769930362701,0.1578596815466881,-0.06598718811503866,44
BPI17,rnn,sequence,NT,prefix_length_bucket,4-5,105,0.0954707188443059,0.01433570024826011,0.07958516478538513,0.17453082501888276,-0.06713104359805584,104
BPI17,rnn,sequence,NT,prefix_length_bucket,6-10,248,0.15160828107975483,0.06858214885173348,0.11673177033662796,0.2466672599315644,-0.116712539995675,245
BPI17,rnn,sequence,NT,prefix_length_bucket,>50,130,0.24026251925119702,0.3115323799084754,0.11632862687110901,0.4747672051191331,-0.041005772296697475,122
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,1,43,0.020788089133972346,0.00044892094112531196,0.0210578590631485,0.026529064774513254,0.020788089133972346,43
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,11-20,545,0.5988479586779525,2.9451103549312814,0.10651233792304993,1.0526841521263124,-0.20763988991122728,525
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,2,49,0.037608987214613934,0.006978799055057473,0.004328668117523193,0.17975452542305,0.0344502329826355,49
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,21-50,836,0.2873980849014894,0.8697689091644891,0.11229778081178665,0.5835631042718887,-0.043559211006323456,769
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,3,44,0.018361527896062893,0.001136935549587601,0.008910879492759705,0.032195946574211126,0.009765882976353168,44
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,4-5,105,0.06940135019166128,0.018516603296838217,0.009248539805412292,0.27295138090848936,0.04271726977257501,104
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,6-10,248,0.1063353635535966,0.0715146321061026,0.030611157417297363,0.29169522672891623,0.002140849010057507,245
BPI17,saprpt,tabular_fm,NT,prefix_length_bucket,>50,130,0.21666448533248442,0.32831391635488866,0.08637434244155884,0.29313344657421114,-0.05801642873825935,122
BPI17,tabpfn3,tabular_fm,NT,prefix_length_bucket,1,43,0.006469124971434127,0.00010309581812487671,0.002707451581954956,0.017744830250740074,0.005360299071600271,43
BPI17,tabpfn3,tabular_fm,NT,prefix_length_bucket,11-20,545,0.5457889593778811,3.0356384801846508,0.07474809885025024,1.167407585680485,-0.3026647882057576,525
BPI17,tabpfn3,tabular_fm,NT,prefix_length_bucket,2,49,0.012925549429290148,0.0008560302165924455,0.002827271819114685,0.06652805209159851,0.010755396010924359,49
BPI17,tabpfn3,tabular_fm,NT,prefix_length_bucket,21-50,836,0.2546045171343677,0.8831557121978166,0.08768400177359581,0.3359716944396496,-0.0907390609483288,769
BPI17,tabpfn3,tabular_fm,NT,prefix_length_bucket,3,44,0.01112960185855627,0.0006673831844623862,0.005876161158084869,0.021015682816505454,0.00374057778919285,44
