dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI12,RT,rt_magnitude_bucket,"rt_mag_(-0.802, 0.0929]",0.4325284310969788,0.469499648129591,0.2873141298731488,0.3778075918931027,0.3966243595440896,0.7311501378929778,0.5092321338830633,0.3872159757185962,0.4510140396132849,-0.122016158164467,-0.0582180942697784,0.7603918722998615,0.8856747436069161,
BPI20PrepaidTravelCosts,NT,relative_prefix_bucket,20-40%,0.8096183164701235,1.1737372002827002,0.9090129559636552,0.7835358726956634,0.7780308632566382,0.8930874863519995,0.9010502211578272,0.7807833679761508,0.9916777583764118,-0.1202668531816765,0.0906275372185845,0.8665259156952022,1.1005798956490245,
BPI12,NT,prefix_length_bucket,1,0.1239997506714784,0.0435045286194308,0.1954217266219739,0.0037364329283054,0.0021432764255083,0.0482416970061731,0.1218317118140735,0.0029398546769068,0.0837521396454546,-0.1188918571371666,-0.0380795721686189,0.024130455307017,0.6874412121309446,
BPI12,NT,activity_current,12,0.1239997506714784,0.0435045286194308,0.1954217266219739,0.0037364329283054,0.0021432764255083,0.0482416970061731,0.1218317118140735,0.0029398546769068,0.0837521396454546,-0.1188918571371666,-0.0380795721686189,0.024130455307017,0.6874412121309446,A_SUBMITTED
BPI20RequestForPayment,NT,activity_current,18,0.3322148738487158,0.291358641727129,0.3466465637495275,0.2027087041235063,0.1978004855627659,0.287055929446069,0.3168512465977983,0.2002545948431361,0.3117867577879224,-0.1165966517546621,-0.0050644888098758,0.6320145399248925,0.9840161941470768,Request Payment
BPI12,NT,activity_current,8,0.1615973498672246,0.0614983800798654,0.1400070171803236,0.0045363150537014,0.0023071516305208,0.0989285016432404,0.119467759411782,0.0034217333421111,0.111547864973545,-0.1160460260696709,-0.0079198944382369,0.0286414791652454,0.9337068471256866,A_FINALIZED
BPI20TravelPermitData,NT,activity_current,50,0.3363402446820622,0.2683493527425389,0.1272115698812821,0.0816755031748693,0.0671596844889679,0.2537052045975412,0.1904583872394116,0.0744175938319186,0.3023447987123006,-0.1160407934074929,0.1118864114728889,0.3907288878718353,1.5874585682186024,Request Payment
BPI20PrepaidTravelCosts,NT,activity_current,18,0.2624492803923036,0.4601877179430348,0.2559993958673386,0.2358832573277297,0.2245084402156758,0.4353198448340569,0.3456596203506977,0.2301958487717028,0.3613184991676692,-0.1154637715789949,0.0156588788169714,0.6659610646396931,1.04530144076732,Request For Payment APPROVED by BUDGET OWNER
BPI20PrepaidTravelCosts,RT,activity_current,17,0.9132036656880492,0.2699074884354567,0.4465850329158656,0.2319815219588778,0.2410595761570294,0.2552624665505583,0.3509237497332119,0.2365205490579536,0.591555577061753,-0.1144032006752583,0.240631827328541,0.6739941347308844,1.6857097232988083,Request For Payment APPROVED by ADMINISTRATION
BPI20PrepaidTravelCosts,RT,nt_magnitude_bucket,"nt_mag_(-0.27855, 0.061119]",1.0075102405398797,0.5440192915533729,0.666475155092654,0.4810323456271602,0.4744668339786134,0.5164114164624836,0.5914432857775688,0.4777495898028868,0.7757647660466263,-0.1136936959746819,0.1843214802690574,0.8077690647460658,1.311646923215521,
