dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI12,llama32-1b,llm,RT,prefix_length_bucket,4-5,118,1.5867028296056946,4.083906997717342,1.428664147853851,3.4141919314861298,-1.5473086196550374,116,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,6-10,293,1.555750325903036,3.800531595534765,1.4685949087142944,3.3474828124046327,-1.5286867291254942,269,
BPI12,llama32-1b,llm,RT,prefix_length_bucket,>50,115,0.2534950815789077,0.1857700206350174,0.110357642173767,0.7200133740901951,-0.2494043235869511,72,
BPI12,rnn,sequence,RT,prefix_length_bucket,1,91,1.2930984007870103,3.128018689512865,1.0814208686351776,3.1287771463394165,-1.1658120497979303,91,
BPI12,rnn,sequence,RT,prefix_length_bucket,11-20,536,1.2026679456308258,2.3349466664734657,0.8996840603649616,2.653999984264374,-1.123365602535743,461,
BPI12,rnn,sequence,RT,prefix_length_bucket,2,86,1.0426988052095958,2.162118845184704,0.4504880458116531,2.946135923266411,-0.7476664301289548,86,
BPI12,rnn,sequence,RT,prefix_length_bucket,21-50,672,0.6435261761215814,0.9071055354142258,0.3371781408786773,1.818337655067444,-0.5691947049905312,498,
BPI12,rnn,sequence,RT,prefix_length_bucket,3,89,1.0320192156411876,2.252844053186257,0.5119898319244385,3.009224736690521,-0.8290325012214984,89,
BPI12,rnn,sequence,RT,prefix_length_bucket,4-5,118,1.1798159336543963,2.4484581033374244,0.7778880167752504,2.724638019502163,-0.9760578257585204,116,
BPI12,rnn,sequence,RT,prefix_length_bucket,6-10,293,1.2249291637775714,2.456067144621681,0.9267385303974152,2.735133799910545,-1.0592435586406077,269,
BPI12,rnn,sequence,RT,prefix_length_bucket,>50,115,0.2165909603562044,0.1129968372540283,0.1290398240089416,0.5671882599592212,-0.1653283007442951,72,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,1,91,1.283206186983939,3.157112440227269,1.010244458913803,3.215340375900269,-1.2467756289784069,91,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,11-20,536,1.4014205362349348,2.919813972867684,1.3381332159042358,2.945271372795105,-1.3912401594034371,461,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,2,86,0.9603814543008284,2.134712503936844,0.2186149358749389,2.874036431312561,-0.887452884263164,86,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,21-50,672,0.7119306291066702,1.1423475571450152,0.3631554991006851,1.977379786968231,-0.6814353500372125,498,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,3,89,1.12187727925556,2.659193452031696,0.7785844504833221,3.1554653644561768,-1.1181349500652735,89,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,4-5,118,1.3776218955862825,3.1726322668585683,1.2176875323057177,3.2301765203475954,-1.3624080575181772,116,
